Mes,DÍA,T. MEDIA,T. MÁX,T. MÍN,V. MEDIA VIENTO,RACHAS MÁX,PRESIÓN MEDIA,LLUVIA
January,1,21 °C,32 °C,14 °C,12.3 km/h,-- km/h,1016 hPa,-- mm
January,2,24 °C,31 °C,16 °C,13.9 km/h,35.2 km/h,1014.2 hPa,-- mm
January,3,22 °C,30 °C,13 °C,14.7 km/h,-- km/h,1014.5 hPa,-- mm
January,4,21 °C,30 °C,13 °C,13.1 km/h,-- km/h,1012.4 hPa,-- mm
January,5,23 °C,32 °C,14 °C,15.2 km/h,-- km/h,1010.4 hPa,-- mm
January,6,22 °C,31 °C,14 °C,13.1 km/h,-- km/h,1013.1 hPa,-- mm
January,7,23 °C,31 °C,15 °C,13.9 km/h,-- km/h,1014.5 hPa,-- mm
January,8,24 °C,31 °C,17 °C,14.3 km/h,-- km/h,1013.9 hPa,-- mm
January,9,22 °C,30 °C,17 °C,13.6 km/h,-- km/h,1014.8 hPa,-- mm
January,10,23 °C,30 °C,17 °C,13.9 km/h,-- km/h,1013.4 hPa,-- mm
January,11,24 °C,33 °C,15 °C,12.5 km/h,-- km/h,1013.8 hPa,-- mm
January,12,26 °C,34 °C,16 °C,13.5 km/h,-- km/h,1011.8 hPa,-- mm
January,13,27 °C,35 °C,18 °C,12.7 km/h,-- km/h,1013 hPa,-- mm
January,14,25 °C,32 °C,17 °C,15.5 km/h,-- km/h,1010.5 hPa,-- mm
January,15,22 °C,31 °C,14 °C,13.4 km/h,-- km/h,1012 hPa,-- mm
January,16,22 °C,31 °C,13 °C,14 km/h,-- km/h,1014 hPa,-- mm
January,17,25 °C,34 °C,15 °C,11.7 km/h,-- km/h,1013.3 hPa,-- mm
January,18,27 °C,35 °C,17 °C,13.9 km/h,-- km/h,1011.8 hPa,-- mm
January,19,25 °C,35 °C,16 °C,12.6 km/h,-- km/h,1013.3 hPa,-- mm
January,20,27 °C,37 °C,18 °C,12.7 km/h,29.6 km/h,1012.5 hPa,-- mm
January,21,26 °C,35 °C,18 °C,12.5 km/h,-- km/h,1012.4 hPa,-- mm
January,22,23 °C,30 °C,17 °C,13.3 km/h,-- km/h,1015 hPa,-- mm
January,23,23 °C,32 °C,17 °C,13.6 km/h,-- km/h,1016 hPa,-- mm
January,24,24 °C,33 °C,16 °C,11.2 km/h,-- km/h,1014.7 hPa,-- mm
January,25,28 °C,37 °C,18 °C,12.1 km/h,-- km/h,1011.9 hPa,-- mm
January,26,27 °C,33 °C,19 °C,14.4 km/h,66.7 km/h,1012.2 hPa,-- mm
January,27,25 °C,33 °C,19 °C,12.5 km/h,-- km/h,1014.7 hPa,-- mm
January,28,25 °C,31 °C,19 °C,15.1 km/h,-- km/h,1012.3 hPa,-- mm
January,29,25 °C,33 °C,18 °C,13.6 km/h,-- km/h,1010.8 hPa,-- mm
January,30,25 °C,33 °C,17 °C,15.4 km/h,-- km/h,1013.1 hPa,-- mm
January,31,25 °C,33 °C,16 °C,14 km/h,-- km/h,1012.7 hPa,-- mm
February,1,23 °C,31 °C,15 °C,13.7 km/h,-- km/h,1012.3 hPa,-- mm
February,2,21 °C,29 °C,14 °C,15.4 km/h,-- km/h,1011.7 hPa,-- mm
February,3,17 °C,24 °C,11 °C,14.1 km/h,-- km/h,1012.8 hPa,-- mm
February,4,19 °C,25 °C,14 °C,13.9 km/h,-- km/h,1015.8 hPa,-- mm
February,5,22 °C,32 °C,14 °C,11.1 km/h,-- km/h,1013.7 hPa,-- mm
February,6,24 °C,32 °C,15 °C,14.5 km/h,-- km/h,1011 hPa,-- mm
February,7,22 °C,30 °C,14 °C,12.9 km/h,-- km/h,1011.3 hPa,-- mm
February,8,18 °C,27 °C,11 °C,14.5 km/h,-- km/h,1014 hPa,-- mm
February,9,20 °C,29 °C,11 °C,16.1 km/h,-- km/h,1014.8 hPa,-- mm
February,10,22 °C,30 °C,16 °C,10.4 km/h,-- km/h,1013.1 hPa,-- mm
February,11,22 °C,31 °C,13 °C,12.9 km/h,-- km/h,1014.7 hPa,-- mm
February,12,23 °C,33 °C,13 °C,13.2 km/h,-- km/h,1013.3 hPa,-- mm
February,13,23 °C,31 °C,14 °C,14.3 km/h,-- km/h,1011.1 hPa,-- mm
February,14,21 °C,29 °C,14 °C,14.2 km/h,-- km/h,1012.8 hPa,-- mm
February,15,22 °C,31 °C,15 °C,13.4 km/h,-- km/h,1016 hPa,-- mm
February,16,21 °C,29 °C,14 °C,15.1 km/h,-- km/h,1016.4 hPa,-- mm
February,17,20 °C,26 °C,13 °C,13.4 km/h,-- km/h,1015.5 hPa,-- mm
February,18,20 °C,29 °C,12 °C,12.4 km/h,-- km/h,1017.7 hPa,-- mm
February,19,23 °C,32 °C,13 °C,11.5 km/h,-- km/h,1015.6 hPa,-- mm
February,20,24 °C,34 °C,16 °C,9.9 km/h,-- km/h,1014.3 hPa,-- mm
February,21,25 °C,34 °C,16 °C,11.3 km/h,-- km/h,1014 hPa,-- mm
February,22,26 °C,32 °C,18 °C,12.8 km/h,-- km/h,1011.3 hPa,-- mm
February,23,24 °C,31 °C,17 °C,12.3 km/h,-- km/h,1011.3 hPa,-- mm
February,24,25 °C,32 °C,18 °C,12.7 km/h,-- km/h,1012.5 hPa,-- mm
February,25,25 °C,31 °C,20 °C,13.1 km/h,-- km/h,1012.1 hPa,-- mm
February,26,24 °C,31 °C,20 °C,10.9 km/h,-- km/h,1013 hPa,-- mm
February,27,24 °C,30 °C,18 °C,12.6 km/h,-- km/h,1014.5 hPa,-- mm
February,28,23 °C,31 °C,17 °C,13.1 km/h,-- km/h,1014.8 hPa,-- mm
March,1,22 °C,30 °C,16 °C,14.7 km/h,-- km/h,1011.7 hPa,-- mm
March,2,21 °C,28 °C,14 °C,13.9 km/h,-- km/h,1012.8 hPa,-- mm
March,3,22 °C,28 °C,15 °C,12 km/h,-- km/h,1013.1 hPa,-- mm
March,4,20 °C,27 °C,13 °C,13 km/h,33.3 km/h,1014.3 hPa,-- mm
March,5,21 °C,31 °C,12 °C,11.1 km/h,-- km/h,1012.2 hPa,-- mm
March,6,22 °C,32 °C,13 °C,9.9 km/h,-- km/h,1012.5 hPa,-- mm
March,7,23 °C,30 °C,14 °C,9.3 km/h,-- km/h,1011 hPa,-- mm
March,8,20 °C,27 °C,11 °C,11.8 km/h,-- km/h,1012.5 hPa,-- mm
March,9,19 °C,25 °C,12 °C,11.9 km/h,-- km/h,1016.5 hPa,-- mm
March,10,19 °C,28 °C,10 °C,11.7 km/h,-- km/h,1015.4 hPa,-- mm
March,11,19 °C,27 °C,10 °C,11.6 km/h,-- km/h,1017 hPa,-- mm
March,12,21 °C,34 °C,9 °C,9.6 km/h,-- km/h,1014.5 hPa,-- mm
March,13,22 °C,31 °C,11 °C,9.9 km/h,-- km/h,1010.3 hPa,-- mm
March,14,18 °C,24 °C,12 °C,13.9 km/h,-- km/h,1013.1 hPa,-- mm
March,15,18 °C,29 °C,11 °C,10.2 km/h,-- km/h,1015.4 hPa,-- mm
March,16,21 °C,29 °C,12 °C,10.4 km/h,-- km/h,1015 hPa,-- mm
March,17,20 °C,29 °C,12 °C,9.6 km/h,-- km/h,1016 hPa,-- mm
March,18,21 °C,32 °C,13 °C,10.9 km/h,-- km/h,1014.3 hPa,-- mm
March,19,21 °C,29 °C,14 °C,12.1 km/h,-- km/h,1015.4 hPa,-- mm
March,20,20 °C,28 °C,13 °C,11.4 km/h,-- km/h,1016.3 hPa,-- mm
March,21,20 °C,30 °C,13 °C,9.9 km/h,-- km/h,1014.4 hPa,-- mm
March,22,19 °C,27 °C,12 °C,12.7 km/h,-- km/h,1014.8 hPa,-- mm
March,23,18 °C,25 °C,11 °C,11.5 km/h,-- km/h,1014.5 hPa,-- mm
March,24,15 °C,19 °C,13 °C,10.7 km/h,-- km/h,1016.1 hPa,-- mm
March,25,19 °C,25 °C,16 °C,11 km/h,-- km/h,1015 hPa,-- mm
March,26,17 °C,24 °C,10 °C,10.5 km/h,-- km/h,1016.3 hPa,-- mm
March,27,19 °C,28 °C,9 °C,8.5 km/h,-- km/h,1015 hPa,-- mm
March,28,18 °C,27 °C,10 °C,10.4 km/h,-- km/h,1014.4 hPa,-- mm
March,29,17 °C,23 °C,12 °C,11.9 km/h,-- km/h,1016.4 hPa,-- mm
March,30,17 °C,25 °C,8 °C,9.1 km/h,-- km/h,1015.3 hPa,-- mm
March,31,18 °C,26 °C,9 °C,9.4 km/h,-- km/h,1014.5 hPa,-- mm
April,1,16 °C,22 °C,11 °C,12.3 km/h,-- km/h,1018.3 hPa,-- mm
April,2,16 °C,24 °C,9 °C,8.7 km/h,-- km/h,1019.8 hPa,-- mm
April,3,18 °C,26 °C,10 °C,9.5 km/h,-- km/h,1013.4 hPa,-- mm
April,4,18 °C,24 °C,12 °C,9.8 km/h,-- km/h,1015.3 hPa,-- mm
April,5,17 °C,27 °C,9 °C,7.8 km/h,-- km/h,1017.2 hPa,-- mm
April,6,18 °C,27 °C,10 °C,10 km/h,-- km/h,1013.4 hPa,-- mm
April,7,15 °C,18 °C,12 °C,14.4 km/h,-- km/h,1016.7 hPa,-- mm
April,8,13 °C,19 °C,8 °C,11 km/h,-- km/h,1016.5 hPa,-- mm
April,9,14 °C,22 °C,5 °C,8.6 km/h,-- km/h,1016.2 hPa,-- mm
April,10,16 °C,28 °C,5 °C,7.1 km/h,-- km/h,1016.5 hPa,-- mm
April,11,19 °C,31 °C,9 °C,7 km/h,-- km/h,1013.3 hPa,-- mm
April,12,18 °C,27 °C,10 °C,9.1 km/h,-- km/h,1012.9 hPa,-- mm
April,13,16 °C,24 °C,10 °C,10.3 km/h,-- km/h,1013.2 hPa,-- mm
April,14,15 °C,23 °C,8 °C,10.3 km/h,-- km/h,1014.7 hPa,-- mm
April,15,17 °C,22 °C,10 °C,6.7 km/h,-- km/h,1015.2 hPa,-- mm
April,16,18 °C,22 °C,12 °C,6.8 km/h,-- km/h,1013.3 hPa,-- mm
April,17,16 °C,23 °C,9 °C,9.4 km/h,-- km/h,1012.5 hPa,-- mm
April,18,16 °C,23 °C,13 °C,12.7 km/h,-- km/h,1013.9 hPa,-- mm
April,19,16 °C,22 °C,12 °C,9.2 km/h,-- km/h,1018.1 hPa,-- mm
April,20,16 °C,19 °C,14 °C,8.6 km/h,33.3 km/h,1020.9 hPa,-- mm
April,21,17 °C,22 °C,15 °C,6.1 km/h,-- km/h,1018.5 hPa,-- mm
April,22,18 °C,24 °C,13 °C,10.3 km/h,-- km/h,1017.3 hPa,-- mm
April,23,16 °C,22 °C,9 °C,10 km/h,-- km/h,1016.5 hPa,-- mm
April,24,13 °C,19 °C,7 °C,8.3 km/h,-- km/h,1016.8 hPa,-- mm
April,25,12 °C,19 °C,6 °C,8.3 km/h,-- km/h,1019.2 hPa,-- mm
April,26,12 °C,22 °C,4 °C,7.3 km/h,-- km/h,1020.8 hPa,-- mm
April,27,13 °C,25 °C,3 °C,7.7 km/h,-- km/h,1017.3 hPa,-- mm
April,28,15 °C,28 °C,5 °C,7.7 km/h,-- km/h,1017.5 hPa,-- mm
April,29,16 °C,29 °C,5 °C,6.3 km/h,-- km/h,1015.2 hPa,-- mm
April,30,16 °C,28 °C,6 °C,6.5 km/h,-- km/h,1013.9 hPa,-- mm
May,1,12 °C,19 °C,6 °C,10.7 km/h,-- km/h,1015.6 hPa,-- mm
May,2,12 °C,18 °C,8 °C,6.1 km/h,-- km/h,1019.7 hPa,-- mm
May,3,13 °C,25 °C,5 °C,8.6 km/h,-- km/h,1017.7 hPa,-- mm
May,4,15 °C,26 °C,6 °C,7.2 km/h,-- km/h,1014 hPa,-- mm
May,5,12 °C,21 °C,5 °C,10.4 km/h,-- km/h,1009.5 hPa,-- mm
May,6,12 °C,16 °C,8 °C,7.6 km/h,-- km/h,1013.4 hPa,-- mm
May,7,12 °C,17 °C,8 °C,5.6 km/h,-- km/h,1017.5 hPa,-- mm
May,8,14 °C,19 °C,11 °C,7.8 km/h,-- km/h,1018.7 hPa,-- mm
May,9,14 °C,19 °C,9 °C,6 km/h,-- km/h,1013.5 hPa,-- mm
May,10,13 °C,16 °C,10 °C,6.4 km/h,-- km/h,1012.5 hPa,-- mm
May,11,13 °C,14 °C,11 °C,8.7 km/h,-- km/h,1013.5 hPa,-- mm
May,12,13 °C,18 °C,10 °C,6.1 km/h,-- km/h,1013.4 hPa,-- mm
May,13,15 °C,20 °C,12 °C,8.4 km/h,-- km/h,1017.2 hPa,-- mm
May,14,13 °C,16 °C,10 °C,8.2 km/h,-- km/h,1019.4 hPa,-- mm
May,15,10 °C,18 °C,3 °C,5.3 km/h,-- km/h,1019.3 hPa,-- mm
May,16,11 °C,14 °C,7 °C,6.8 km/h,-- km/h,1018.2 hPa,-- mm
May,17,12 °C,15 °C,9 °C,6.7 km/h,-- km/h,1016.8 hPa,-- mm
May,18,9 °C,13 °C,7 °C,9.2 km/h,-- km/h,1017.6 hPa,-- mm
May,19,7 °C,14 °C,1 °C,4.6 km/h,-- km/h,1020.9 hPa,-- mm
May,20,8 °C,17 °C,1 °C,5 km/h,-- km/h,1019.8 hPa,-- mm
May,21,9 °C,17 °C,3 °C,5.3 km/h,-- km/h,1017.7 hPa,-- mm
May,22,10 °C,14 °C,6 °C,5.1 km/h,-- km/h,1015.5 hPa,-- mm
May,23,9 °C,12 °C,7 °C,5.1 km/h,-- km/h,1016.1 hPa,-- mm
May,24,9 °C,13 °C,6 °C,7.1 km/h,-- km/h,1014.9 hPa,-- mm
May,25,10 °C,12 °C,9 °C,6.2 km/h,-- km/h,1018.9 hPa,-- mm
May,26,10 °C,18 °C,4 °C,5.9 km/h,-- km/h,1020.3 hPa,-- mm
May,27,10 °C,18 °C,4 °C,6.2 km/h,-- km/h,1020.8 hPa,-- mm
May,28,9 °C,15 °C,4 °C,6.6 km/h,-- km/h,1019 hPa,-- mm
May,29,11 °C,16 °C,7 °C,7.3 km/h,-- km/h,1018.5 hPa,-- mm
May,30,9 °C,17 °C,2 °C,5 km/h,-- km/h,1023.5 hPa,-- mm
May,31,9 °C,20 °C,2 °C,5.4 km/h,-- km/h,1022.3 hPa,-- mm
June,1,10 °C,18 °C,2 °C,5.4 km/h,-- km/h,1019.6 hPa,-- mm
June,2,8 °C,14 °C,3 °C,7.4 km/h,-- km/h,1016.4 hPa,-- mm
June,3,9 °C,15 °C,3 °C,8.7 km/h,-- km/h,1019.1 hPa,-- mm
June,4,7 °C,14 °C,0 °C,6.1 km/h,-- km/h,1019.3 hPa,-- mm
June,5,7 °C,13 °C,2 °C,4.3 km/h,-- km/h,1017.8 hPa,-- mm
June,6,5 °C,17 °C,-2 °C,4.5 km/h,-- km/h,1018.4 hPa,-- mm
June,7,4 °C,10 °C,-1 °C,7.3 km/h,-- km/h,1018.2 hPa,-- mm
June,8,8 °C,12 °C,5 °C,7.9 km/h,-- km/h,1028.4 hPa,-- mm
June,9,7 °C,16 °C,1 °C,5.6 km/h,-- km/h,1026.8 hPa,-- mm
June,10,8 °C,19 °C,1 °C,5.4 km/h,-- km/h,1019 hPa,-- mm
June,11,8 °C,19 °C,1 °C,7.9 km/h,-- km/h,1017 hPa,-- mm
June,12,8 °C,18 °C,1 °C,5.2 km/h,-- km/h,1016.2 hPa,-- mm
June,13,8 °C,12 °C,5 °C,7.1 km/h,-- km/h,1017.7 hPa,-- mm
June,14,7 °C,10 °C,2 °C,6 km/h,-- km/h,1017 hPa,-- mm
June,15,6 °C,11 °C,1 °C,5.2 km/h,-- km/h,1015.8 hPa,-- mm
June,16,11 °C,17 °C,5 °C,15.4 km/h,64.8 km/h,1012.4 hPa,-- mm
June,17,9 °C,12 °C,7 °C,12.4 km/h,-- km/h,1019.9 hPa,-- mm
June,18,5 °C,11 °C,0 °C,4.5 km/h,-- km/h,1024.7 hPa,-- mm
June,19,4 °C,8 °C,-2 °C,6.9 km/h,-- km/h,1020.1 hPa,-- mm
June,20,8 °C,12 °C,5 °C,5.7 km/h,-- km/h,1014.8 hPa,-- mm
June,21,8 °C,13 °C,5 °C,6.7 km/h,-- km/h,1014.3 hPa,-- mm
June,22,10 °C,13 °C,8 °C,11.1 km/h,33.3 km/h,1014.2 hPa,-- mm
June,23,11 °C,14 °C,9 °C,7.7 km/h,-- km/h,1014.4 hPa,-- mm
June,24,10 °C,13 °C,8 °C,8 km/h,-- km/h,1009.6 hPa,-- mm
June,25,11 °C,16 °C,7 °C,10.7 km/h,-- km/h,1011.7 hPa,-- mm
June,26,11 °C,13 °C,9 °C,8 km/h,-- km/h,1013.9 hPa,-- mm
June,27,11 °C,15 °C,7 °C,5.7 km/h,-- km/h,1020.7 hPa,-- mm
June,28,9 °C,17 °C,2 °C,5.1 km/h,-- km/h,1021 hPa,-- mm
June,29,9 °C,17 °C,2 °C,6.1 km/h,-- km/h,1023.4 hPa,-- mm
June,30,10 °C,20 °C,2 °C,7.5 km/h,-- km/h,1021.4 hPa,-- mm
July,1,11 °C,24 °C,3 °C,5.4 km/h,-- km/h,1014.8 hPa,-- mm
July,2,9 °C,17 °C,3 °C,5.9 km/h,-- km/h,1014.7 hPa,-- mm
July,3,9 °C,11 °C,7 °C,9.7 km/h,-- km/h,1017 hPa,-- mm
