Mes,DÍA,T. MEDIA,T. MÁX,T. MÍN,V. MEDIA VIENTO,RACHAS MÁX,PRESIÓN MEDIA,LLUVIA
July,4,8 °C,10 °C,4 °C,7.2 km/h,-- km/h,1019.8 hPa,-- mm
July,5,4 °C,7 °C,0 °C,5.3 km/h,-- km/h,1022.1 hPa,-- mm
July,6,7 °C,14 °C,2 °C,6.7 km/h,-- km/h,1021.9 hPa,-- mm
July,7,11 °C,19 °C,6 °C,5.3 km/h,-- km/h,1020.6 hPa,-- mm
July,8,10 °C,16 °C,5 °C,4.7 km/h,-- km/h,1020.2 hPa,-- mm
July,9,9 °C,15 °C,3 °C,5.9 km/h,-- km/h,1021.5 hPa,-- mm
July,10,8 °C,15 °C,3 °C,4.6 km/h,-- km/h,1019 hPa,-- mm
July,11,8 °C,20 °C,0 °C,5.1 km/h,-- km/h,1015.2 hPa,-- mm
July,12,10 °C,14 °C,6 °C,8.8 km/h,-- km/h,1015.7 hPa,-- mm
July,13,9 °C,13 °C,5 °C,6.4 km/h,-- km/h,1021.4 hPa,-- mm
July,14,9 °C,13 °C,6 °C,8.3 km/h,-- km/h,1021.6 hPa,-- mm
July,15,5 °C,9 °C,0 °C,10.8 km/h,-- km/h,1022.8 hPa,-- mm
July,16,5 °C,9 °C,0 °C,6.9 km/h,-- km/h,1028.3 hPa,-- mm
July,17,5 °C,16 °C,-2 °C,5.1 km/h,-- km/h,1024.8 hPa,-- mm
July,18,10 °C,20 °C,0 °C,6.2 km/h,-- km/h,1019.1 hPa,-- mm
July,19,10 °C,22 °C,2 °C,6.5 km/h,-- km/h,1019.5 hPa,-- mm
July,20,11 °C,21 °C,2 °C,4.5 km/h,-- km/h,1017.8 hPa,-- mm
July,21,11 °C,20 °C,2 °C,7.5 km/h,-- km/h,1015.9 hPa,-- mm
July,22,9 °C,12 °C,7 °C,8.9 km/h,-- km/h,1017.2 hPa,-- mm
July,23,9 °C,12 °C,6 °C,5.5 km/h,-- km/h,1020.7 hPa,-- mm
July,24,10 °C,14 °C,7 °C,4.9 km/h,-- km/h,1021.1 hPa,-- mm
July,25,6 °C,15 °C,1 °C,5.5 km/h,-- km/h,1017.2 hPa,-- mm
July,26,7 °C,21 °C,0 °C,4 km/h,-- km/h,1018.2 hPa,-- mm
July,27,9 °C,17 °C,2 °C,7 km/h,-- km/h,1016 hPa,-- mm
July,28,8 °C,16 °C,2 °C,6.3 km/h,-- km/h,1019.4 hPa,-- mm
July,29,8 °C,14 °C,2 °C,6.7 km/h,-- km/h,1019.6 hPa,-- mm
July,30,9 °C,17 °C,2 °C,6.2 km/h,-- km/h,1019.8 hPa,-- mm
July,31,10 °C,16 °C,5 °C,6.6 km/h,-- km/h,1016.3 hPa,-- mm
August,1,8 °C,11 °C,5 °C,6.3 km/h,-- km/h,1019.3 hPa,-- mm
August,2,9 °C,18 °C,4 °C,4.9 km/h,-- km/h,1024.1 hPa,-- mm
August,3,10 °C,20 °C,1 °C,6.3 km/h,-- km/h,1017.1 hPa,-- mm
August,4,8 °C,13 °C,5 °C,11.1 km/h,-- km/h,1018.9 hPa,-- mm
August,5,9 °C,12 °C,7 °C,7.1 km/h,-- km/h,1019.6 hPa,-- mm
August,6,9 °C,16 °C,5 °C,4.7 km/h,-- km/h,1019.6 hPa,-- mm
August,7,10 °C,13 °C,6 °C,7.2 km/h,-- km/h,1018.8 hPa,-- mm
August,8,11 °C,21 °C,2 °C,6.7 km/h,-- km/h,1018.2 hPa,-- mm
August,9,11 °C,14 °C,8 °C,8.6 km/h,-- km/h,1014.2 hPa,-- mm
August,10,10 °C,12 °C,7 °C,8.5 km/h,-- km/h,1016.5 hPa,-- mm
August,11,8 °C,9 °C,7 °C,8.7 km/h,-- km/h,1018.5 hPa,-- mm
August,12,6 °C,12 °C,1 °C,7.6 km/h,-- km/h,1023.6 hPa,-- mm
August,13,8 °C,11 °C,5 °C,5 km/h,-- km/h,1025.9 hPa,-- mm
August,14,9 °C,17 °C,1 °C,8.1 km/h,-- km/h,1022.4 hPa,-- mm
August,15,10 °C,16 °C,5 °C,6.8 km/h,-- km/h,1021.7 hPa,-- mm
August,16,10 °C,20 °C,2 °C,7.9 km/h,-- km/h,1019.4 hPa,-- mm
August,17,11 °C,22 °C,3 °C,6.9 km/h,-- km/h,1018.5 hPa,-- mm
August,18,9 °C,14 °C,5 °C,10.5 km/h,-- km/h,1017.6 hPa,-- mm
August,19,9 °C,15 °C,4 °C,6.1 km/h,27.8 km/h,1023 hPa,-- mm
August,20,8 °C,19 °C,0 °C,4.2 km/h,-- km/h,1023.3 hPa,-- mm
August,21,11 °C,24 °C,2 °C,7.3 km/h,-- km/h,1015.4 hPa,-- mm
August,22,10 °C,16 °C,5 °C,9.7 km/h,-- km/h,1015 hPa,-- mm
August,23,10 °C,16 °C,7 °C,6.7 km/h,-- km/h,1018.2 hPa,-- mm
August,24,11 °C,14 °C,8 °C,9.1 km/h,-- km/h,1015.5 hPa,-- mm
August,25,9 °C,16 °C,4 °C,8.4 km/h,-- km/h,1018.8 hPa,-- mm
August,26,9 °C,14 °C,3 °C,8.2 km/h,-- km/h,1020.1 hPa,-- mm
August,27,9 °C,16 °C,4 °C,7.6 km/h,-- km/h,1017.8 hPa,-- mm
August,28,9 °C,15 °C,5 °C,10 km/h,-- km/h,1018.3 hPa,-- mm
August,29,9 °C,15 °C,5 °C,8.6 km/h,-- km/h,1024.5 hPa,-- mm
August,30,10 °C,21 °C,1 °C,5.8 km/h,-- km/h,1019.3 hPa,-- mm
August,31,12 °C,21 °C,3 °C,8.4 km/h,-- km/h,1015.8 hPa,-- mm
September,1,10 °C,16 °C,7 °C,9.8 km/h,-- km/h,1017.8 hPa,-- mm
September,2,11 °C,17 °C,6 °C,10 km/h,-- km/h,1019.2 hPa,-- mm
September,3,11 °C,14 °C,9 °C,11.8 km/h,-- km/h,1021.5 hPa,-- mm
September,4,9 °C,18 °C,2 °C,7.9 km/h,-- km/h,1025.3 hPa,-- mm
September,5,10 °C,17 °C,3 °C,8 km/h,-- km/h,1019.7 hPa,-- mm
September,6,10 °C,16 °C,2 °C,7.3 km/h,-- km/h,1018 hPa,-- mm
September,7,10 °C,19 °C,2 °C,9.2 km/h,-- km/h,1017.2 hPa,-- mm
September,8,9 °C,12 °C,6 °C,11.2 km/h,-- km/h,1017.8 hPa,-- mm
September,9,9 °C,13 °C,6 °C,6.7 km/h,-- km/h,1016 hPa,-- mm
September,10,9 °C,12 °C,7 °C,9.5 km/h,-- km/h,1022.9 hPa,-- mm
September,11,6 °C,12 °C,1 °C,5.2 km/h,-- km/h,1019.9 hPa,-- mm
September,12,10 °C,15 °C,5 °C,7.3 km/h,-- km/h,1018.8 hPa,-- mm
September,13,12 °C,17 °C,9 °C,10.2 km/h,-- km/h,1022.9 hPa,-- mm
September,14,11 °C,16 °C,7 °C,9.9 km/h,-- km/h,1025.5 hPa,-- mm
September,15,12 °C,22 °C,3 °C,7.8 km/h,-- km/h,1022.1 hPa,-- mm
September,16,15 °C,29 °C,4 °C,6.6 km/h,-- km/h,1016.1 hPa,-- mm
September,17,16 °C,25 °C,7 °C,10.6 km/h,-- km/h,1014.7 hPa,-- mm
September,18,12 °C,17 °C,7 °C,13.9 km/h,-- km/h,1013.6 hPa,-- mm
September,19,11 °C,14 °C,10 °C,11.6 km/h,-- km/h,1018.4 hPa,-- mm
September,20,13 °C,18 °C,9 °C,9.4 km/h,-- km/h,1023.3 hPa,-- mm
September,21,12 °C,22 °C,4 °C,8.2 km/h,-- km/h,1021.4 hPa,-- mm
September,22,15 °C,26 °C,5 °C,8.8 km/h,-- km/h,1018.5 hPa,-- mm
September,23,17 °C,28 °C,7 °C,10.7 km/h,-- km/h,1014 hPa,-- mm
September,24,15 °C,22 °C,9 °C,13.3 km/h,-- km/h,1018.5 hPa,-- mm
September,25,15 °C,24 °C,7 °C,9.4 km/h,-- km/h,1019.6 hPa,-- mm
September,26,15 °C,23 °C,8 °C,7.8 km/h,-- km/h,1016.5 hPa,-- mm
September,27,16 °C,24 °C,8 °C,7.2 km/h,-- km/h,1013.4 hPa,-- mm
September,28,15 °C,22 °C,10 °C,9.2 km/h,-- km/h,1015.1 hPa,-- mm
September,29,16 °C,23 °C,12 °C,11.2 km/h,-- km/h,1017.1 hPa,-- mm
September,30,11 °C,17 °C,7 °C,11.9 km/h,-- km/h,1015.4 hPa,-- mm
October,1,11 °C,16 °C,9 °C,11.5 km/h,-- km/h,1019.1 hPa,-- mm
October,2,11 °C,17 °C,4 °C,8.3 km/h,-- km/h,1020.7 hPa,-- mm
October,3,15 °C,26 °C,7 °C,8.3 km/h,-- km/h,1018.4 hPa,-- mm
October,4,13 °C,18 °C,9 °C,11 km/h,-- km/h,1014.7 hPa,-- mm
October,5,12 °C,17 °C,7 °C,15.4 km/h,-- km/h,1019.1 hPa,-- mm
October,6,15 °C,25 °C,7 °C,9.1 km/h,-- km/h,1018.1 hPa,-- mm
October,7,14 °C,19 °C,10 °C,14.5 km/h,-- km/h,1017.2 hPa,-- mm
October,8,13 °C,19 °C,9 °C,10.6 km/h,-- km/h,1021.2 hPa,-- mm
October,9,13 °C,20 °C,6 °C,10.1 km/h,-- km/h,1018.5 hPa,-- mm
October,10,13 °C,18 °C,9 °C,16.3 km/h,-- km/h,1016.8 hPa,-- mm
October,11,10 °C,15 °C,5 °C,12.2 km/h,-- km/h,1017.2 hPa,-- mm
October,12,12 °C,18 °C,7 °C,12.8 km/h,-- km/h,1020.5 hPa,-- mm
October,13,14 °C,23 °C,5 °C,9 km/h,-- km/h,1020.6 hPa,-- mm
October,14,17 °C,28 °C,6 °C,9.1 km/h,-- km/h,1014.6 hPa,-- mm
October,15,17 °C,24 °C,8 °C,11.4 km/h,-- km/h,1011.1 hPa,-- mm
October,16,13 °C,20 °C,7 °C,14.2 km/h,-- km/h,1013.9 hPa,-- mm
October,17,13 °C,23 °C,7 °C,10.9 km/h,-- km/h,1017.1 hPa,-- mm
October,18,15 °C,22 °C,11 °C,12.4 km/h,-- km/h,1018.3 hPa,-- mm
October,19,18 °C,27 °C,8 °C,11.2 km/h,-- km/h,1015.6 hPa,-- mm
October,20,16 °C,21 °C,12 °C,12.3 km/h,-- km/h,1014.8 hPa,-- mm
October,21,16 °C,27 °C,6 °C,9.7 km/h,-- km/h,1016.9 hPa,-- mm
October,22,19 °C,28 °C,9 °C,9.7 km/h,-- km/h,1015.1 hPa,-- mm
October,23,20 °C,27 °C,13 °C,14.2 km/h,-- km/h,1016 hPa,-- mm
October,24,17 °C,25 °C,9 °C,12.3 km/h,-- km/h,1017.4 hPa,-- mm
October,25,17 °C,26 °C,11 °C,13.2 km/h,-- km/h,1015.7 hPa,-- mm
October,26,16 °C,22 °C,10 °C,15.2 km/h,-- km/h,1015.9 hPa,-- mm
October,27,17 °C,26 °C,9 °C,12.6 km/h,-- km/h,1015.7 hPa,-- mm
October,28,13 °C,19 °C,9 °C,17.4 km/h,-- km/h,1015.5 hPa,-- mm
October,29,12 °C,18 °C,10 °C,13.8 km/h,-- km/h,1019 hPa,-- mm
October,30,14 °C,23 °C,5 °C,11.8 km/h,-- km/h,1020.1 hPa,-- mm
October,31,14 °C,22 °C,6 °C,12.5 km/h,-- km/h,1017.5 hPa,-- mm
November,1,13 °C,17 °C,9 °C,10.2 km/h,-- km/h,1016.1 hPa,-- mm
November,2,13 °C,17 °C,11 °C,14.8 km/h,-- km/h,1017.1 hPa,-- mm
November,3,15 °C,24 °C,10 °C,11.3 km/h,-- km/h,1018.1 hPa,-- mm
November,4,15 °C,21 °C,11 °C,11 km/h,-- km/h,1016.5 hPa,-- mm
November,5,18 °C,27 °C,11 °C,11.4 km/h,33.3 km/h,1016.6 hPa,-- mm
November,6,18 °C,23 °C,12 °C,12.7 km/h,-- km/h,1015.9 hPa,-- mm
November,7,18 °C,23 °C,13 °C,12.4 km/h,-- km/h,1015.8 hPa,-- mm
November,8,19 °C,27 °C,14 °C,10.5 km/h,-- km/h,1016.1 hPa,-- mm
November,9,20 °C,28 °C,13 °C,14.6 km/h,31.5 km/h,1016.7 hPa,-- mm
November,10,21 °C,32 °C,12 °C,11.3 km/h,-- km/h,1014.1 hPa,-- mm
November,11,23 °C,32 °C,11 °C,14.7 km/h,-- km/h,1010.8 hPa,-- mm
November,12,21 °C,29 °C,14 °C,12.8 km/h,-- km/h,1011 hPa,-- mm
November,13,18 °C,28 °C,10 °C,13.4 km/h,-- km/h,1013.5 hPa,-- mm
November,14,19 °C,27 °C,12 °C,14.8 km/h,-- km/h,1013.1 hPa,-- mm
November,15,17 °C,24 °C,13 °C,16.1 km/h,-- km/h,1017.8 hPa,-- mm
November,16,18 °C,27 °C,9 °C,14.4 km/h,37 km/h,1017.3 hPa,-- mm
November,17,18 °C,26 °C,10 °C,14.6 km/h,-- km/h,1015.9 hPa,-- mm
November,18,16 °C,25 °C,11 °C,12.9 km/h,-- km/h,1016.2 hPa,-- mm
November,19,20 °C,30 °C,10 °C,13.8 km/h,-- km/h,1014.4 hPa,-- mm
November,20,18 °C,24 °C,12 °C,16.1 km/h,44.4 km/h,1015.2 hPa,-- mm
November,21,18 °C,30 °C,9 °C,11.5 km/h,-- km/h,1017.8 hPa,-- mm
November,22,23 °C,32 °C,12 °C,11.7 km/h,-- km/h,1013.7 hPa,-- mm
November,23,22 °C,30 °C,14 °C,14.7 km/h,-- km/h,1012.2 hPa,-- mm
November,24,17 °C,24 °C,10 °C,17.1 km/h,-- km/h,1016.9 hPa,-- mm
November,25,20 °C,31 °C,10 °C,10.3 km/h,-- km/h,1015.9 hPa,-- mm
November,26,21 °C,29 °C,13 °C,14.7 km/h,-- km/h,1013 hPa,-- mm
November,27,19 °C,29 °C,11 °C,15.1 km/h,-- km/h,1012.2 hPa,-- mm
November,28,16 °C,24 °C,11 °C,16.6 km/h,-- km/h,1012.7 hPa,-- mm
November,29,17 °C,24 °C,12 °C,14.3 km/h,-- km/h,1017.2 hPa,-- mm
November,30,20 °C,28 °C,13 °C,13.1 km/h,-- km/h,1012.8 hPa,-- mm
December,1,19 °C,26 °C,13 °C,14.7 km/h,-- km/h,1011.6 hPa,-- mm
December,2,16 °C,21 °C,11 °C,17.3 km/h,-- km/h,1013.7 hPa,-- mm
December,3,18 °C,26 °C,13 °C,13.5 km/h,-- km/h,1016 hPa,-- mm
December,4,19 °C,28 °C,12 °C,15.4 km/h,-- km/h,1012.2 hPa,-- mm
December,5,18 °C,27 °C,11 °C,15.8 km/h,-- km/h,1013 hPa,-- mm
December,6,18 °C,28 °C,11 °C,15.6 km/h,-- km/h,1014.7 hPa,-- mm
December,7,19 °C,29 °C,10 °C,15.2 km/h,-- km/h,1013.8 hPa,-- mm
December,8,18 °C,26 °C,12 °C,16.5 km/h,-- km/h,1014.7 hPa,-- mm
December,9,21 °C,31 °C,11 °C,13.9 km/h,-- km/h,1015.5 hPa,-- mm
December,10,24 °C,34 °C,14 °C,13.7 km/h,-- km/h,1012.9 hPa,-- mm
December,11,19 °C,27 °C,13 °C,17.5 km/h,-- km/h,1013.5 hPa,-- mm
December,12,17 °C,24 °C,13 °C,13.2 km/h,-- km/h,1016.3 hPa,-- mm
December,13,19 °C,27 °C,14 °C,14.2 km/h,-- km/h,1034.4 hPa,-- mm
December,14,22 °C,33 °C,12 °C,11.8 km/h,-- km/h,1015.9 hPa,-- mm
December,15,26 °C,35 °C,15 °C,15.2 km/h,-- km/h,1011.3 hPa,-- mm
December,16,21 °C,29 °C,14 °C,19.2 km/h,53.7 km/h,1012.4 hPa,-- mm
December,17,21 °C,32 °C,12 °C,12.4 km/h,-- km/h,1014.1 hPa,-- mm
December,18,23 °C,30 °C,14 °C,14.1 km/h,-- km/h,1012.7 hPa,-- mm
December,19,24 °C,32 °C,16 °C,14.7 km/h,-- km/h,1012.6 hPa,-- mm
December,20,23 °C,30 °C,15 °C,15.1 km/h,-- km/h,1012.4 hPa,-- mm
December,21,23 °C,32 °C,14 °C,14.3 km/h,-- km/h,1012.7 hPa,-- mm
December,22,23 °C,30 °C,14 °C,15.4 km/h,-- km/h,1014.1 hPa,-- mm
December,23,23 °C,30 °C,15 °C,15.2 km/h,-- km/h,1013.8 hPa,-- mm
December,24,23 °C,32 °C,13 °C,14.1 km/h,-- km/h,1013.8 hPa,-- mm
December,25,23 °C,32 °C,14 °C,13.7 km/h,-- km/h,1012.1 hPa,-- mm
December,26,22 °C,30 °C,13 °C,17 km/h,-- km/h,1014.9 hPa,-- mm
December,27,24 °C,31 °C,15 °C,15.4 km/h,-- km/h,1015.7 hPa,-- mm
December,28,24 °C,32 °C,15 °C,14.1 km/h,-- km/h,1014.9 hPa,-- mm
December,29,24 °C,32 °C,14 °C,14.4 km/h,-- km/h,1013.9 hPa,-- mm
December,30,24 °C,31 °C,15 °C,15.8 km/h,-- km/h,1014.5 hPa,-- mm
December,31,22 °C,26 °C,16 °C,14.7 km/h,-- km/h,1013.9 hPa,-- mm